data_year,province,track,school,major,city,school_level,batch,min_score,major_tags,notes,source_name,source_url
2025,吉林省,physics,北京师范大学,普通类,北京,985/211/双一流,本科,625,"师范,综合,名校",北京校区普通类调档线公开信息,北京师范大学本科招生网,https://admission.bnu.edu.cn/
2025,吉林省,physics,吉林大学,物联网工程,长春,985/211/双一流,本科,615,"计算机,工科,综合",吉林大学2025吉林录取最低分公开信息,吉林大学招生网,https://zsb.jlu.edu.cn/Index/admission.html
2025,吉林省,physics,天津工业大学,数学类,天津,双一流,本科,559,"数学,工科,理工",天津工业大学2025吉林录取信息,天津工业大学本科招生网,https://zs.tiangong.edu.cn/
2025,吉林省,physics,华北水利水电大学,会计学,郑州,公办本科,本科,532,"会计,财经,管理",吉林物理类专业最低分公开信息,华北水利水电大学招生网,https://www2.ncwu.edu.cn/zhaosheng/info/1020/8445.htm
2025,吉林省,physics,吉林财经大学,审计学,长春,公办本科,本科,539,"财经,审计,会计",吉林财经大学2025录取分数公开信息,吉林财经大学招生信息网,https://zs.jlufe.edu.cn/
2025,吉林省,physics,吉林财经大学,金融学,长春,公办本科,本科,520,"财经,金融",吉林财经大学2025录取分数公开信息,吉林财经大学招生信息网,https://zs.jlufe.edu.cn/
2025,吉林省,physics,吉林师范大学,物理学,四平,公办本科/师范,本科,518,"师范,物理,教育",吉林师范大学2025录取最低分公开信息,吉林师范大学本科招生网,https://web.jlnu.edu.cn/zsxxw/
2025,吉林省,physics,辽宁工程技术大学,普通类,阜新,公办本科,本科,503,"工科,矿业,工程",吉林物理类最低分公开信息,辽宁工程技术大学招生网,https://zsjy.lntu.edu.cn/
2025,吉林省,physics,长春中医药大学,普通类,长春,公办本科/医药,本科,425,"医学,中医,药学",吉林物理类最低分公开信息,长春中医药大学招生网,https://zsb.ccucm.edu.cn/
2025,吉林省,physics,延边大学,普通类,延吉,211/双一流,本科,387,"综合,朝鲜语,医学",吉林物理类最低分公开信息,延边大学招生网,https://admission.ybu.edu.cn/
2025,吉林省,physics,辽宁工业大学,化学工程与工艺(中外合作办学),锦州,公办本科/中外合作,本科,429,"化工,工科,中外合作",吉林物理类最低分公开信息,辽宁工业大学本科招生网,https://zsc.lnut.edu.cn/
2025,吉林省,physics,闽南科技学院,普通类,泉州,民办本科,本科,374,"民办,综合",吉林物理类最低分公开信息,闽南科技学院招生网,https://zsw.mku.edu.cn/
2025,吉林省,history,吉林大学,政治学经济学与哲学,长春,985/211/双一流,本科,636,"哲学,政治,经济,综合",吉林大学2025吉林录取最低分公开信息,吉林大学招生网,https://zsb.jlu.edu.cn/Index/admission.html
2025,吉林省,history,北京师范大学,普通类,北京,985/211/双一流,本科,625,"师范,综合,名校",北京校区普通类调档线公开信息,北京师范大学本科招生网,https://admission.bnu.edu.cn/
2025,吉林省,history,华北电力大学,普通类,北京,211/双一流,本科,584,"电力,工科,综合",吉林历史类公开录取分数信息,华北电力大学本科招生网,https://zhaosheng.ncepu.edu.cn/
2025,吉林省,history,辽宁大学,汉语国际教育,沈阳,211/双一流,本科,582,"中文,国际教育,师范",吉林历史类专业最低分公开信息,辽宁大学招生网,https://zs.lnu.edu.cn/
2025,吉林省,history,辽宁大学,朝鲜语,沈阳,211/双一流,本科,575,"语言,小语种",吉林历史类专业最低分公开信息,辽宁大学招生网,https://zs.lnu.edu.cn/
2025,吉林省,history,吉林财经大学,会计学,长春,公办本科,本科,557,"财经,会计",吉林历史类公开录取分数信息,吉林财经大学招生信息网,https://zs.jlufe.edu.cn/
2025,吉林省,history,吉林师范大学,思想政治教育,四平,公办本科/师范,本科,545,"师范,政治,教育",吉林历史类公开录取分数信息,吉林师范大学本科招生网,https://web.jlnu.edu.cn/zsxxw/
2025,吉林省,history,吉林财经大学,资产评估,长春,公办本科,本科,538,"财经,评估,管理",吉林历史类公开录取分数信息,吉林财经大学招生信息网,https://zs.jlufe.edu.cn/
2025,吉林省,history,吉林师范大学,汉语国际教育,四平,公办本科/师范,本科,481,"中文,师范,国际教育",吉林历史类公开录取分数信息,吉林师范大学本科招生网,https://web.jlnu.edu.cn/zsxxw/
2025,吉林省,history,长春中医药大学,普通类,长春,公办本科/医药,本科,479,"医学,中医,药学",吉林历史类最低分公开信息,长春中医药大学招生网,https://zsb.ccucm.edu.cn/
2025,吉林省,history,吉林农业大学,普通类,长春,公办本科,本科,482,"农业,生物,食品",吉林历史类最低分公开信息,吉林农业大学招生网,https://zsb.jlau.edu.cn/
2025,吉林省,history,辽宁工程技术大学,普通类,阜新,公办本科,本科,472,"工科,工程,管理",吉林历史类最低分公开信息,辽宁工程技术大学招生网,https://zsjy.lntu.edu.cn/
2025,吉林省,history,贵州财经大学,金融学(中外合作办学),贵阳,公办本科/中外合作,本科,459,"财经,金融,中外合作",吉林历史类公开录取分数信息,贵州财经大学招生网,https://zs.gufe.edu.cn/
2025,吉林省,history,闽南科技学院,普通类,泉州,民办本科,本科,444,"民办,综合",吉林历史类最低分公开信息,闽南科技学院招生网,https://zsw.mku.edu.cn/
2025,吉林省,history,延边大学,普通类,延吉,211/双一流,本科,386,"综合,朝鲜语,医学",吉林历史类最低分公开信息,延边大学招生网,https://admission.ybu.edu.cn/
